latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight
36.801172,-78.690219,4386,6327,2025-01-07,1553,L8,OLI,H,D
36.800901,-78.690227,4386,6328,2025-01-07,1553,L8,OLI,H,D
36.800895,-78.689891,4387,6328,2025-01-07,1553,L8,OLI,H,D
36.801969,-78.689523,4388,6324,2025-01-07,1553,L8,OLI,H,D
38.220427,-78.631306,4429,1073,2025-01-07,1553,L8,OLI,H,D
38.22069,-78.630954,4430,1072,2025-01-07,1553,L8,OLI,H,D
38.22042,-78.630963,4430,1073,2025-01-07,1553,L8,OLI,H,D
37.046181,-78.651444,4479,5418,2025-01-07,1553,L8,OLI,L,D
37.04591,-78.651452,4479,5419,2025-01-07,1553,L8,OLI,M,D
37.875084,-78.598077,4559,2348,2025-01-07,1553,L8,OLI,H,D
37.875077,-78.597736,4560,2348,2025-01-07,1553,L8,OLI,H,D
36.996274,-78.589611,4667,5598,2025-01-07,1553,L8,OLI,H,D
36.996004,-78.58962,4667,5599,2025-01-07,1553,L8,OLI,H,D
36.996267,-78.589274,4668,5598,2025-01-07,1553,L8,OLI,H,D
36.995997,-78.589283,4668,5599,2025-01-07,1553,L8,OLI,H,D
36.99626,-78.588937,4669,5598,2025-01-07,1553,L8,OLI,M,D
37.284302,-78.490111,4934,4525,2025-01-07,1553,L8,OLI,H,D
37.284032,-78.49012,4934,4526,2025-01-07,1553,L8,OLI,L,D
37.284295,-78.489772,4935,4525,2025-01-07,1553,L8,OLI,H,D
37.284025,-78.489781,4935,4526,2025-01-07,1553,L8,OLI,L,D
36.999638,-78.452987,5072,5575,2025-01-07,1553,L8,OLI,H,D
36.999901,-78.452642,5073,5574,2025-01-07,1553,L8,OLI,M,D
36.99963,-78.452651,5073,5575,2025-01-07,1553,L8,OLI,H,D
36.99936,-78.45266,5073,5576,2025-01-07,1553,L8,OLI,M,D
36.9772,-78.378591,5295,5652,2025-01-07,1553,L8,OLI,M,D
37.959875,-78.306811,5404,2011,2025-01-07,1553,L8,OLI,M,D
37.994725,-78.224582,5641,1875,2025-01-07,1553,L8,OLI,H,D
37.994454,-78.224593,5641,1876,2025-01-07,1553,L8,OLI,L,D
37.994716,-78.224241,5642,1875,2025-01-07,1553,L8,OLI,H,D
37.994446,-78.224251,5642,1876,2025-01-07,1553,L8,OLI,L,D
38.116673,-78.214838,5656,1423,2025-01-07,1553,L8,OLI,L,D
37.968032,-78.216028,5669,1973,2025-01-07,1553,L8,OLI,M,D
37.963965,-78.215499,5671,1988,2025-01-07,1553,L8,OLI,H,D
37.963695,-78.215509,5671,1989,2025-01-07,1553,L8,OLI,H,D
37.963957,-78.215157,5672,1988,2025-01-07,1553,L8,OLI,H,D
37.963686,-78.215168,5672,1989,2025-01-07,1553,L8,OLI,H,D
36.917723,-78.247295,5691,5861,2025-01-07,1553,L8,OLI,H,D
36.917453,-78.247305,5691,5862,2025-01-07,1553,L8,OLI,H,D
36.918526,-78.24693,5692,5858,2025-01-07,1553,L8,OLI,H,D
36.917715,-78.246959,5692,5861,2025-01-07,1553,L8,OLI,H,D
36.917445,-78.246968,5692,5862,2025-01-07,1553,L8,OLI,H,D
36.917175,-78.246978,5692,5863,2025-01-07,1553,L8,OLI,M,D
36.918788,-78.246583,5693,5857,2025-01-07,1553,L8,OLI,H,D
36.918518,-78.246593,5693,5858,2025-01-07,1553,L8,OLI,H,D
36.918248,-78.246603,5693,5859,2025-01-07,1553,L8,OLI,H,D
36.91878,-78.246247,5694,5857,2025-01-07,1553,L8,OLI,H,D
36.91851,-78.246257,5694,5858,2025-01-07,1553,L8,OLI,H,D
36.91824,-78.246266,5694,5859,2025-01-07,1553,L8,OLI,H,D
36.917962,-78.24594,5695,5860,2025-01-07,1553,L8,OLI,H,D
36.917692,-78.245949,5695,5861,2025-01-07,1553,L8,OLI,H,D
36.917422,-78.245959,5695,5862,2025-01-07,1553,L8,OLI,H,D
36.917684,-78.245613,5696,5861,2025-01-07,1553,L8,OLI,M,D
36.917414,-78.245623,5696,5862,2025-01-07,1553,L8,OLI,H,D
36.654441,-78.225833,5783,6833,2025-01-07,1553,L8,OLI,H,D
36.654433,-78.225498,5784,6833,2025-01-07,1553,L8,OLI,H,D
38.022577,-78.090952,6029,1760,2025-01-07,1553,L8,OLI,H,D
38.022307,-78.090963,6029,1761,2025-01-07,1553,L8,OLI,L,D
37.310071,-78.059765,6203,4393,2025-01-07,1553,L8,OLI,L,D
